Date,sm0,sm1,sm2,sm3,sm6,sm7,sm10,sm11,sm14,sm15,sm18,sm19,sm23
4/24/2004,0.164204592,0.135106594,0.163836922,0.149216212,0.15194667,0.161677478,0.148053812,0.159746264,0.145026373,0.15296446,0.14164935,0.145790155,0.148318111
4/25/2004,0.200819552,0.156319618,0.156167105,0.143975258,0.159397647,0.113609724,0.12362501,0.125514194,0.122544885,0.116979666,0.141600996,0.129198432,0.151814267
4/26/2004,0.14778249,0.074936301,0.129919991,0.11169619,0.140855874,0.124836577,0.121232198,0.112143427,0.114529621,0.098266989,0.108029308,0.098338,0.095850661
4/27/2004,0.212268683,0.18929325,0.213607579,0.187568903,0.183337018,0.188624516,0.168595329,0.167998448,0.166500628,0.165676698,0.169592556,0.166062081,0.160185901
4/28/2004,0.14778249,0.089660518,0.162299991,0.142025946,0.144359244,0.124338902,0.122999415,0.115386504,0.115374054,0.098266989,0.108225891,0.098338,0.10722913
4/29/2004,0.162778766,0.135465459,0.162022519,0.145797625,0.174496221,0.166727882,0.160991369,0.16349741,0.153028342,0.153106406,0.151076989,0.151289898,0.153809552
4/30/2004,0.14778249,0.137999997,0.147659987,0.136705577,0.147422374,0.142130203,0.141305701,0.141544826,0.129589749,0.134480998,0.129802831,0.134692997,0.134671101
5/1/2004,0.179902399,0.153575285,0.186057431,0.176266772,0.17419451,0.179471722,0.166415728,0.172031807,0.160388913,0.16434804,0.156257046,0.159872465,0.164163947
5/2/2004,0.12509799,0.167989999,0.189429998,0.175830139,0.17445183,0.174723404,0.16579287,0.159984199,0.159314704,0.134480998,0.157287677,0.168709993,0.174755752
5/3/2004,0.196080506,0.131388754,0.194222659,0.186077401,0.201679245,0.154193744,0.172367975,0.140812159,0.172357798,0.15153718,0.146199986,0.164734438,0.109899707
5/4/2004,0.14778249,0.146195501,0.175720006,0.165288729,0.180026442,0.192979323,0.204284417,0.208593452,0.21722533,0.24342449,0.214511718,0.235707998,0.22711439
5/5/2004,0.169124007,0.100379996,0.128558263,0.098889567,0.137770221,0.100392193,0.110883139,0.107413441,0.111211888,0.122232988,0.110093355,0.123944506,0.082112864
5/6/2004,0.165649315,0.144390219,0.174947917,0.165042061,0.175826169,0.17114861,0.170253051,0.170938508,0.166141788,0.163606633,0.165486997,0.168825198,0.172924669
5/7/2004,0.139507994,0.100379996,0.14174667,0.125700208,0.14470882,0.113889273,0.120595687,0.10408281,0.115112916,0.098266989,0.123808611,0.098338,0.110702201
5/8/2004,0.164599727,0.128807187,0.152551815,0.112841405,0.117253065,0.103613287,0.094718285,0.09533,0.062467627,0.084183127,0.092855494,0.103828383,0.11172829
5/9/2004,0.14778249,0.100379996,0.129919991,0.105713458,0.112237117,0.099498527,0.088216195,0.081521807,0.075325104,0.063116275,0.088186242,0.08935,0.08412309
5/10/2004,0.168460249,0.142937587,0.170807897,0.153624452,0.171776042,0.164924204,0.167504611,0.158990166,0.160215385,0.154702602,0.159875581,0.156661557,0.166484516
5/11/2004,0.186816782,0.153513446,0.165814131,0.153777421,0.179239586,0.136995792,0.141503394,0.138970301,0.129415736,0.116869964,0.137166485,0.130023345,0.13944082
5/12/2004,0.139507994,0.070931599,0.127629638,0.110289667,0.140651682,0.125509471,0.124652915,0.119818517,0.114992945,0.108523995,0.111805053,0.098338,0.106091639
5/13/2004,0.183489732,0.156348809,0.186043397,0.164314017,0.170917049,0.168132126,0.1706267,0.166017979,0.156967118,0.156417876,0.158812932,0.158313097,0.168698918
5/14/2004,0.122118406,0.070931599,0.129919991,0.111945396,0.127995865,0.119434485,0.112272187,0.108152875,0.100447845,0.098266989,0.095644184,0.08935,0.088617671
5/15/2004,0.195145711,0.156409238,0.188770139,0.1776956,0.183971414,0.182485132,0.169852972,0.172671926,0.162464351,0.16326284,0.158225386,0.160100284,0.166046335
5/16/2004,0.21108678,0.165988714,0.203295499,0.179390579,0.215707943,0.179724574,0.194281131,0.181508705,0.176760226,0.15450263,0.135853618,0.133397982,0.159095451
5/17/2004,0.162212019,0.132456407,0.158389462,0.144052901,0.171711719,0.170732163,0.16749639,0.167992757,0.156997921,0.160932778,0.151487824,0.15424215,0.158020468
