Date,Average of pres0,Average of pres1,Average of pres2,Average of pres3,Average of pres4,Average of pres5,Average of pres6,Average of pres7,Average of pres8,Average of pres9,Average of pres10,Average of pres11,Average of pres12,Average of pres13,Average of pres14,Average of pres15,Average of pres16,Average of pres17,Average of pres18,Average of pres19,Average of pres20,Average of pres21,Average of pres22,Average of pres23,Average of pres24,Average of pres25,Average of pres26,Average of pres27,Average of pres28,Average of pres29,Average of pres30,Average of pres31,Average of pres32,Average of pres33,Average of pres34,Average of pres35
2/1/2004,101278.5199,101276.5128,101259.9308,101233.7191,101273.255,101276.1353,101253.2695,101206.1129,101272.3821,101276.2798,101275.3494,101242.505,101271.19,101248.8473,101220.8036,101213.2979,101232.7898,101196.2223,101173.8523,101166.1705,101163.728,101142.5195,101065.8942,101069.9087,101062.1705,101029.3271,101017.3136,101010.9126,101066.2429,100919.3349,100881.1967,100910.0845,101095.4222,100925.5305,100849.196,100840.8473
2/2/2004,101738.7145,101726.2352,101701.7547,101668.475,101733.9797,101725.5949,101692.2828,101638.9074,101721.9469,101716.3793,101709.243,101672.6348,101703.5793,101675.5785,101647.4504,101641.1156,101669.2754,101629.9465,101606.3633,101593.5633,101610.9391,101592.8586,101509.2434,101502.9699,101510.5551,101487.9945,101469.4992,101454.4582,101518.7801,101377.948,101338.8434,101361.7555,101556.0266,101383.7387,101303.068,101279.8668
2/3/2004,101932.6786,101923.7482,101903.4709,101876.6218,101930.9915,101925.9872,101897.0415,101849.5948,101932.3874,101929.5092,101923.0803,101888.4318,101931.951,101903.9091,101871.5302,101861.5806,101900.4169,101856.7518,101828.592,101813.581,101836.679,101811.4293,101726.1626,101721.3338,101733.4354,101697.7997,101679.5597,101669.9883,101728.9851,101578.4098,101538.4688,101570.7592,101749.9315,101577.0146,101500.4453,101493.5217
2/4/2004,102117.0724,102111.9796,102090.054,102057.802,102117.0166,102112.6196,102085.127,102034.9015,102116.2931,102116.9049,102116.7103,102081.2605,102109.2816,102088.5499,102066.2615,102060.0856,102077.1695,102042.1923,102022.6022,102014.3108,102020.5713,102000.926,101921.7612,101921.288,101927.5768,101899.0825,101884.2792,101873.2038,101941.4059,101797.5173,101759.0893,101783.3257,101981.3088,101810.0387,101731.7643,101715.0129
2/5/2004,102032.043,102047.8836,102038.4746,102010.6031,102020.0422,102041.4184,102036.0742,101989.0023,102015.4668,102040.8113,102063.1152,102034.7313,102010.2512,102010.9551,102008.2668,102013.7699,101986.2188,101968.4582,101963.9781,101967.307,101935.7879,101935.6266,101867.4039,101873.1309,101842.3145,101827.7867,101820.0758,101820.0105,101844.332,101707.9793,101676.7781,101718.9238,101878.9867,101712.1074,101642.4121,101648.9387
2/6/2004,101906.8101,101923.589,101914.5452,101885.7184,101885.4117,101909.2306,101902.5245,101852.855,101883.5751,101904.4178,101915.7143,101883.4918,101890.5598,101878.4827,101856.1121,101851.9925,101855.3594,101829.2588,101810.0306,101804.02,101782.2327,101779.8404,101705.0425,101709.8577,101675.3251,101663.359,101656.9874,101656.876,101681.5306,101547.659,101517.3281,101557.5931,101720.6253,101553.6141,101483.8533,101486.7473
2/7/2004,101870.9194,101856.1996,101828.6793,101788.5337,101873.2756,101864.6346,101828.7656,101768.169,101868.4173,101860.4759,101849.4794,101809.0437,101858.6722,101826.9045,101791.7337,101779.6903,101814.4251,101772.5629,101745.5668,101733.9876,101741.494,101717.3775,101637.2894,101636.9119,101634.2642,101600.0827,101581.9304,101566.1921,101632.5483,101484.4176,101440.7809,101456.8967,101656.0835,101483.3704,101401.2461,101375.2102
2/8/2004,102672.8977,102666.468,102642.6968,102607.1306,102683.7786,102678.0785,102649.279,102595.4576,102691.9453,102693.5904,102696.0301,102658.0562,102691.7935,102673.4468,102653.8199,102645.8955,102664.3344,102627.8549,102608.8073,102600.9427,102608.8984,102587.1693,102505.3702,102504.2429,102514.3002,102483.1224,102466.5134,102453.6834,102528.2277,102377.7667,102336.7764,102360.1823,102568.7005,102391.7857,102311.0841,102289.6592
2/9/2004,102717.0476,102712.811,102686.6023,102643.4487,102724.2708,102719.6388,102689.6503,102628.3017,102724.5751,102725.6425,102727.5625,102685.1388,102715.6466,102696.8415,102678.3426,102670.3597,102692.3013,102655.1808,102636.9256,102627.6004,102645.0636,102623.3646,102540.8043,102535.2269,102553.2385,102521.3304,102501.2158,102486.526,102558.176,102409.1775,102367.6987,102392.2321,102589.2932,102416.1269,102337.4063,102323.5402
2/10/2004,102203.5577,102198.7717,102174.5632,102134.4654,102203.6685,102200.803,102169.4986,102110.7575,102196.7123,102193.8465,102187.7524,102149.6026,102185.1644,102157.5329,102127.482,102119.7731,102150.966,102108.3094,102083.9338,102072.358,102090.3879,102063.0363,101981.7279,101980.9769,101992.4144,101957.3815,101943.4674,101937.7622,101999.3974,101851.8916,101814.8274,101848.8026,102030.4243,101860.0734,101783.7452,101775.6199
